round,f1,auc
1,0.9749,0.9951
2,0.9986,0.9957
3,0.9986,0.9957
4,0.9985,0.9953
5,0.9982,0.9954
6,0.9989,0.9966
7,0.9984,0.998
8,0.9984,0.9985
9,0.9984,0.9987
10,0.9984,0.999
11,0.9984,0.999
12,0.9984,0.9989
13,0.9984,0.9989
14,0.9983,0.999
15,0.9983,0.999
16,0.9983,0.999
17,0.9983,0.999
18,0.9982,0.999
19,0.9981,0.999
20,0.998,0.999
21,0.9981,0.999
22,0.9978,0.999
23,0.9977,0.999
24,0.9977,0.999
25,0.9977,0.999
26,0.9975,0.999
27,0.9982,0.999
28,0.9992,0.999
29,0.9992,0.9988
30,0.9993,0.9992
