round,f1,auc
1,0.9912,0.9924
2,0.9987,0.9952
3,0.9985,0.9952
4,0.9989,0.9938
5,0.9989,0.9949
6,0.9988,0.9946
7,0.9986,0.9946
8,0.9985,0.9947
9,0.9985,0.9947
10,0.9984,0.9947
11,0.9985,0.9948
12,0.9984,0.9948
13,0.9984,0.995
14,0.9984,0.995
15,0.9984,0.995
16,0.9984,0.995
17,0.9984,0.995
18,0.9983,0.995
19,0.9983,0.995
20,0.9983,0.995
21,0.9983,0.995
22,0.9983,0.995
23,0.9983,0.995
24,0.9983,0.995
25,0.9983,0.995
26,0.9983,0.995
27,0.9983,0.995
28,0.9983,0.995
29,0.9983,0.995
30,0.9983,0.995
